都道府県,市区町村,医療機関名,郵便番号,所在地,電話番号,区分,類型
埼玉県,さいたま市見沼区,さぐち医院,337-0041,さいたま市見沼区南中丸１０３２－１２ ,048-681-5666,在支診,機能強化型(連携)ア
埼玉県,さいたま市見沼区,南中丸クリニック,337-0041,さいたま市見沼区南中丸１０７８－３,048-685-5011,在支診,従来型
埼玉県,さいたま市見沼区,小野田クリニック,337-0053,さいたま市見沼区大和田町一丁目９３７番地１,048-812-7071,在支診,従来型
埼玉県,さいたま市見沼区,センチュリーシティ内科クリニック,337-0053,さいたま市見沼区大和田町１丁目１２７５番地,048-684-8822,在支診,従来型
埼玉県,さいたま市見沼区,けいあいファミリークリニック,337-0042,さいたま市見沼区大字南中野４２２番地１,048-685-1231,在支診,従来型
埼玉県,さいたま市見沼区,まつざきファミリークリニック,337-0032,さいたま市見沼区大字東新井９番地１,048-688-9191,在支診,従来型
埼玉県,さいたま市見沼区,医療法人社団 風凛香 つばさクリニック,337-0016,さいたま市見沼区大字東門前４３番１ ,048-682-2839,在支診,機能強化型(連携)イ
埼玉県,さいたま市見沼区,ステーションクリニック東大宮,337-0051,さいたま市見沼区東大宮四丁目１番地２ １階,048-654-0038,在支診,従来型
埼玉県,さいたま市見沼区,ファミリークリニック東大宮,337-0051,さいたま市見沼区東大宮四丁目１２番地１ 第５千代本ビル ３階,048-729-7810,在支診,機能強化型(連携)ア
埼玉県,さいたま市見沼区,ＭＢＳ在宅ホームクリニック 埼玉院,337-0051,さいたま市見沼区東大宮四丁目６４番地１１ ラウンドヒルズ１階Ａ号室,048-782-4183,在支診,機能強化型(連携)イ
埼玉県,さいたま市見沼区,東整形外科,337-0051,さいたま市見沼区東大宮５丁目３４番２５号,048-682-1010,在支診,機能強化型(単独)
埼玉県,さいたま市見沼区,医療法人社団 博弘会 ひろクリニック,337-0051,さいたま市見沼区東大宮５－３９－３ 英和ビル５Ｆ－Ａ,048-812-5961,在支診,機能強化型(単独)
埼玉県,さいたま市見沼区,こころのクリニック,337-0051,さいたま市見沼区東大宮５－６－６,048-685-6722,在支診,従来型
埼玉県,さいたま市見沼区,医療法人 晴和会 中村医院,337-0051,さいたま市見沼区東大宮７－７３－２,048-687-2455,在支診,従来型
埼玉県,さいたま市見沼区,医療法人徳洲会 さいたま記念病院,337-0012,さいたま市見沼区東宮下字西１９６番地,048-686-3111,在支病,従来型
埼玉県,さいたま市見沼区,医療法人社団 医凰会 春野クリニック,337-0003,さいたま市見沼区深作３－４０－５,048-680-1122,在支診,機能強化型(連携)ア
埼玉県,三郷市,医療法人社団ＶＥＲＩＴＥ こころと眠りのクリニックみさと,341-0024,三郷市三郷２－１１－５ グリーンパーク三郷５０１号室,048-954-8029,在支診,従来型
埼玉県,三郷市,医療法人社団 白報会 みさと在宅診療所,341-0024,三郷市三郷２－１１－５ グリーンパーク三郷９０１,048-949-7337,在支診,機能強化型(連携)ア
埼玉県,三郷市,医療法人財団健和会 まちかどひろばクリニック,341-0038,三郷市中央１丁目１６番５ ２階,048-954-9629,在支診,機能強化型(連携)ア
埼玉県,三郷市,医療法人 エレソル たにぐちファミリークリニック,341-0023,三郷市仁蔵５２３番地１,048-957-8440,在支診,従来型
埼玉県,三郷市,あおばファミリークリニック,341-0044,三郷市戸ケ崎二丁目２８６番地１,048-955-8621,在支診,従来型
埼玉県,三郷市,医療法人社団高栄会  みさと中央クリニック,341-0034,三郷市新和五丁目２１４番地,048-953-5300,在支診,機能強化型(単独)
埼玉県,三郷市,ＭＣクリニック,341-0018,三郷市早稲田一丁目１８番１９号,048-959-2233,在支診,従来型
埼玉県,三郷市,クリニックふれあい早稲田,341-0018,三郷市早稲田三丁目２６番地３,048-950-3330,在支診,機能強化型(連携)ア
埼玉県,三郷市,舘脇医院,341-0018,三郷市早稲田６－２８－１３,048-957-0151,在支診,従来型
埼玉県,三郷市,医療法人財団東京勤労者医療会 みさと協立診療所,341-0016,三郷市田中新田２７３番地１,048-959-1811,在支診,機能強化型(連携)ア
埼玉県,三郷市,医療法人財団 健和会 みさと健和団地診療所,341-0011,三郷市采女一丁目７６番地１階,048-959-5011,在支診,機能強化型(連携)イ
埼玉県,三郷市,医療法人財団 健和会 みさとホームケア診療所,341-0035,三郷市鷹野５－５５５ ２階,048-948-0051,在支診,機能強化型(連携)ア
埼玉県,八潮市,いわさき在宅診療所,340-0816,八潮市中央４丁目５番地１７中村ビル２階,048-954-9180,在支診,機能強化型(連携)ア
埼玉県,八潮市,医療法人社団 州山会 広瀬病院,340-0801,八潮市八条２８４０－１,048-995-6371,在支病,従来型
埼玉県,八潮市,ときめき在宅診療所,340-0815,八潮市八潮６丁目１６－４セレクト２１八潮南 ３号室,050-1721-2652,在支診,機能強化型(連携)ア
埼玉県,八潮市,医療法人 後谷診療所,340-0831,八潮市南後谷７５１,048-995-3428,在支診,従来型
埼玉県,八潮市,医療法人社団碧水会 八潮駅前在宅クリニック,340-0822,八潮市大瀬六丁目９番地７ Ｉ・Ｋビル６階６０２号室,048-954-5508,在支診,機能強化型(連携)ア
埼玉県,吉川市,土屋医院,342-0022,吉川市加藤６６４番地１,048-982-2156,在支診,機能強化型(連携)ア
埼玉県,吉川市,相羽医院,342-0050,吉川市栄町８８８－１,048-982-6266,在支診,機能強化型(連携)ア
埼玉県,吉川市,駒クリニック吉川,342-0035,吉川市高久１－１０－１ ヴェルフィーユ２０８号室,048-983-4308,在支診,従来型
埼玉県,吉川市,あさがおクリニック,342-0036,吉川市高富２－９－９,048-919-2730,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,川口市,川口認知症往診クリニック,333-0845,川口市上青木西４－２－２９,050-5810-1378,在支診,従来型
埼玉県,川口市,上靑木中央醫院,333-0844,川口市上青木４－２－６,048-267-2218,在支診,従来型
埼玉県,川口市,かがやきクリニック川口,332-0034,川口市並木３－１７－２７ エムエスビル１階,048-299-9095,在支診,従来型
埼玉県,川口市,川口診療所,332-0022,川口市仲町１－３６,048-252-5512,在支診,機能強化型(連携)ア
埼玉県,川口市,前川クリニック,333-0842,川口市前川２－１０－１１ １階,048-485-9460,在支診,機能強化型(連携)イ
埼玉県,川口市,川口北原台クリニック,333-0815,川口市北原台１丁目６番１号１０１,048-290-8078,在支診/在支診,従来型/機能強化型(連携)ア
埼玉県,川口市,医療法人社団 厚生会 埼玉厚生病院,334-0013,川口市南鳩ヶ谷６－５－５,048-281-7611,在支病,従来型
埼玉県,川口市,医療法人社団 真昭会 あずま在宅クリニック,334-0003,川口市坂下町四丁目５１番地１,048-446-7039,在支診,機能強化型(連携)ア
埼玉県,川口市,医療法人 あかつき会 はとがや病院,334-0003,川口市坂下町４－１６－２６,048-282-1890,在支病,機能強化型(連携)
埼玉県,川口市,医療法人社団 孝寿会 ゆずクリニック,333-0865,川口市大字伊刈１５４３番地６,048-264-3352,在支診,従来型
埼玉県,川口市,医療法人社団曙新泉会 ちねん内科クリニック,334-0072,川口市大字安行吉岡１４５９番地の５,048-290-8051,在支診,従来型
埼玉県,川口市,さいぐさクリニック,334-0055,川口市大字安行小山４８７番地の５,048-290-7171,在支診,従来型
埼玉県,川口市,東川口小児科内科脳神経内科クリニック,333-0803,川口市大字藤兵衛新田３９番地,048-299-6775,在支診,従来型
埼玉県,川口市,ひなたクリニック,333-0824,川口市大字赤芝新田１０番地１,048-295-1258,在支診,従来型
埼玉県,川口市,安行メディカルクリニック,334-0051,川口市安行藤八４１８,048-291-3568,在支診,機能強化型(連携)ア
埼玉県,川口市,医療法人 永健会 仁愛医院,332-0015,川口市川口３－２－１－１０２,048-251-5501,在支診,従来型
埼玉県,川口市,たなか糖尿病クリニック,332-0016,川口市幸町１－１－１７ フクロクハイマンション１号館２０３号,048-299-4181,在支診,従来型
埼玉県,川口市,めぐみクリニック,332-0002,川口市弥平二丁目１８番８号,048-224-1600,在支診,従来型
埼玉県,川口市,しろくま在宅診療所,333-0811,川口市戸塚二丁目２５番地１０号 コモンズビル２階,048-299-5700,在支診,機能強化型(連携)ア
埼玉県,川口市,パーククリニック,332-0001,川口市朝日３－９－４,048-228-5455,在支診,従来型
埼玉県,川口市,ふれあい生協病院,333-0831,川口市木曽呂１３０２－１,048-233-8811,在支病,従来型
埼玉県,川口市,皆吉会川口駅前クリニック,332-0012,川口市本町四丁目１番８号 川口センタービル１階,048-271-9547,在支診,機能強化型(連携)ア
埼玉県,川口市,医療法人社団隆樹会 いつきクリニック川口,332-0012,川口市本町四丁目１番８号７階,048-291-8770,在支診,機能強化型(単独)
埼玉県,川口市,医療法人社団 弘惠会 杉浦医院,332-0012,川口市本町四丁目４番１６号３０１,048-222-5015,在支診,機能強化型(単独)
埼玉県,川口市,川口メンタルクリニック,332-0012,川口市本町４丁目７－３ ミヤビル１Ｆ,048-446-6342,在支診,従来型
埼玉県,川口市,東浦和内科外科クリニック,333-0861,川口市柳崎四丁目２８番地３２ オアシス２号館Ｅ,048-487-7755,在支診,従来型
埼玉県,川口市,医療法人 青木会 青木中央クリニック,333-0861,川口市柳崎３－７－２４ ,048-260-1211,在支診,機能強化型(連携)ア
埼玉県,川口市,医療法人社団 悠翔会 悠翔会在宅クリニック川口,333-0861,川口市柳崎４－８－３３ １階,048-264-1600,在支診,機能強化型(連携)ア
埼玉県,川口市,ステーションクリニック川口,332-0017,川口市栄町三丁目１番２４号川口駅東口１階,050-5530-1148,在支診,従来型
埼玉県,川口市,医療法人社団 白報会 かわぐち在宅診療所,332-0017,川口市栄町３丁目１０番地３号 みどりビルディング５階,048-254-1563,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,川口市,川口新緑訪問診療所,332-0017,川口市栄町３－２－２０ 川口駅前ビル６０２号室,048-287-8424,在支診,機能強化型(連携)ア
埼玉県,川口市,栄クリニック,332-0017,川口市栄町３－８－２ ヤナトリビル４Ｆ,048-287-8982,在支診,従来型
埼玉県,川口市,医療法人 三誠会 川口誠和病院,334-0074,川口市江戸３丁目３５－４６,048-285-0661,在支病,従来型
埼玉県,川口市,医療法人社団桐和会 タムスさくらクリニック川口,333-0832,川口市神戸２５８番２号 川口さくらテラス２階,048-271-9562,在支診,機能強化型(単独)
埼玉県,川口市,ひらた内科・在宅クリニック,333-0848,川口市芝下一丁目１２番３号 エスポワール１００号,048-471-9997,在支診,従来型
埼玉県,川口市,医療法人社団 光恵会 芝西医院,333-0855,川口市芝西２－３０－６,048-424-2898,在支診,機能強化型(単独)
埼玉県,川口市,医療法人社団陽和会 ほんだ内科クリニック,333-0868,川口市芝高木一丁目７番８号,048-269-2634,在支診,従来型
埼玉県,川口市,一般社団法人共進会 川口芝クリニック,333-0866,川口市芝４丁目６－６,048-424-3750,在支診,機能強化型(連携)イ
埼玉県,川口市,きむら内科外科クリニック,332-0035,川口市西青木一丁目２１番１９号,048-291-8560,在支診,従来型
埼玉県,川口市,寿康会病院,332-0035,川口市西青木２－１５－１０,048-251-2050,在支病,機能強化型(単独)
埼玉県,川口市,さいわい診療所,332-0035,川口市西青木５丁目１－４０,048-251-6002,在支診,機能強化型(連携)ア
埼玉県,川口市,医療法人 栄仁会 みらいメディカルクリニック川口中央,333-0835,川口市道合９２４,048-281-4191,在支診,従来型
埼玉県,川口市,鳩ヶ谷クリニック,334-0005,川口市里１６４６番地１階,048-288-6099,在支診,機能強化型(連携)ア
埼玉県,川口市,金山町たたら内科,332-0014,川口市金山町１２番１号サウスゲートタワー川口１０３－２号室,048-228-6060,在支診,従来型
埼玉県,川口市,ふじクリニック,332-0031,川口市青木二丁目５番５号 １階,048-240-0071,在支診,機能強化型(連携)ア
埼玉県,川口市,川口工業総合病院,332-0031,川口市青木１丁目１８番１５号,048-252-4873,在支病,従来型
埼玉県,川口市,河合病院,332-0004,川口市領家３－６－７,048-222-3394,在支病,従来型
埼玉県,春日部市,医療法人 浜崎医院 はまさきの郷クリニック,344-0031,春日部市一ノ割三丁目１６番９号,048-731-7777,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,春日部市,医療法人社団 庄和会 庄和中央病院,344-0111,春日部市上金崎２８,048-746-3122,在支病,機能強化型(単独)
埼玉県,春日部市,医療法人 光仁会 春日部厚生クリニック,344-0043,春日部市下蛭田字前田１２５ー１,048-754-4313,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,春日部市,医療法人社団悠翔会 悠翔会在宅クリニック春日部,344-0067,春日部市中央一丁目１番地８ 第６宝光ビル３階,048-760-3477,在支診,機能強化型(連携)ア
埼玉県,春日部市,コンフォート春日部クリニック,344-0067,春日部市中央一丁目１４－８  エターナル春日部２０２号室,048-797-5330,在支診,機能強化型(連携)ア
埼玉県,春日部市,医療法人社団友健会 ミントクリニック春日部,344-0067,春日部市中央一丁目５８番４号最高研ビル２０２,050-5538-4770,在支診,機能強化型(連携)ア
埼玉県,春日部市,ふじクリニック,344-0067,春日部市中央一丁目８番１３号,048-754-5331,在支診,従来型
埼玉県,春日部市,医療法人 みやび会 おおつ整形外科,344-0067,春日部市中央二丁目１７番地１０ 昭和ビル第３－３階 ,048-797-5802,在支診,従来型
埼玉県,春日部市,医療法人社団 嬉泉会 春日部嬉泉病院,344-0067,春日部市中央１－５３－１６,048-736-0111,在支病,従来型
埼玉県,春日部市,ファミリークリニック春日部,344-0033,春日部市備後西３丁目７番地２３号,048-796-5713,在支診,機能強化型(連携)ア
埼玉県,春日部市,浜崎医院,344-0033,春日部市備後西３－８－５７,048-745-6000,在支診,機能強化型(連携)ア
埼玉県,春日部市,医療法人 忠恕 春日部在宅診療所ウエルネス,344-0051,春日部市内牧３７０１番地１エミナース春日部１階,048-792-0772,在支診,機能強化型(連携)ア
埼玉県,春日部市,医療法人 福満会 守田内科医院,344-0064,春日部市南二丁目６番２４号,048-737-6300,在支診,従来型
埼玉県,春日部市,医療法人 光仁会 南部厚生病院,344-0021,春日部市大場２０－１,048-736-7511,在支病,従来型
埼玉県,春日部市,あゆみクリニック,344-0023,春日部市大枝４００番地４,048-731-3283,在支診,機能強化型(連携)ア
埼玉県,春日部市,なないろ在宅診療所,344-0023,春日部市大枝６１３－１２,048-812-7166,在支診,機能強化型(連携)ア
埼玉県,春日部市,竹田クリニック,344-0023,春日部市大枝８９番地武里団地第３街区第２３号棟第１０３号室,048-735-4501,在支診,従来型
埼玉県,春日部市,医療法人社団 廣和会 埼玉東部診療所,344-0022,春日部市大畑３２１番地１,048-720-8715,在支診,機能強化型(連携)ア
埼玉県,春日部市,アグリホームクリニック かすかべ,344-0116,春日部市大衾４９６番地４２２,048-795-9336,在支診,機能強化型(連携)ア
埼玉県,春日部市,山﨑整形外科,344-0004,春日部市牛島１０８１番地３ １階,048-763-5011,在支診,従来型
埼玉県,春日部市,春日部大西毎日腎クリニック,344-0063,春日部市緑町四丁目１４番１８号,048-738-0707,在支診,従来型
埼玉県,春日部市,医療法人 光仁会 春日部厚生病院,344-0063,春日部市緑町６－１１－４８,048-736-1155,在支病,従来型
埼玉県,春日部市,かすかべ生協診療所,344-0065,春日部市谷原２－４－１２,048-752-6143,在支診,従来型
埼玉県,春日部市,はくれん在宅クリニック,344-0066,春日部市豊町３－５－７,048-876-8345,在支診,従来型
埼玉県,春日部市,医療法人社団 春日部さくら病院,344-0117,春日部市金崎７０２番地１,048-746-7071,在支病,従来型
埼玉県,杉戸町,医療法人社団 廣和会 埼玉杉戸診療所,345-0023,北葛飾郡杉戸町本郷２７３番地１,0480-48-6904,在支診,機能強化型(連携)ア
埼玉県,松伏町,みどりの丘ホームケアクリニック,343-0111,北葛飾郡松伏町松伏３８５,0489-47-5630,在支診,機能強化型(連携)ア
埼玉県,松伏町,岡村クリニック,343-0111,北葛飾郡松伏町松伏８２０－１,048-991-7203,在支診,機能強化型(連携)ア
千葉県,流山市,医療法人社団 誠高会 おおたかの森フォレストクリニック,270-0139,流山市おおたかの森南１－２５－２ Ｋ－１,04-7178-7780,在支診,従来型
千葉県,流山市,医療法人財団東京勤労者医療会 東葛病院付属診療所,270-0174,流山市下花輪４０９－６,0471-58-7710,在支診,機能強化型(連携)ア
千葉県,流山市,医療法人財団東京勤労者医療会東葛病院付属流山セントラルパーク駅前診療所,270-0152,流山市前平井１５５（運Ｂ１４０街区１２－２、１３－１、１３－２）わかばビル２階,04-7157-0100,在支診,従来型
千葉県,流山市,あいけいクリニック,270-0163,流山市南流山２－２３－１６－２０１,04-7150-7210,在支診,従来型
千葉県,流山市,医療法人社団 康寿会 いけだ内科小児科クリニック,270-0163,流山市南流山２－８－１０Ｅｌａｉａ南流山１０１,04-7157-7717,在支診,従来型
千葉県,流山市,医療法人社団輝会 かがやきクリニック,270-0163,流山市南流山３－１６－１１ 甲栄第一レジデンス１０１,04-7168-0385,在支診,機能強化型(連携)ア
千葉県,流山市,医療法人社団順世会德重小児科医院 分室,270-0163,流山市南流山４－１－１４ パティーナ南流山２０２号室,04-7199-2501,在支診,従来型
千葉県,流山市,医療法人社団順世会 德重小児科医院,270-0163,流山市南流山４－１－１５ 南流山駅前ビル５Ｆ,04-7158-8660,在支診,従来型
千葉県,流山市,あらい内科・外科,270-0163,流山市南流山８－１１－９,04-7179-5329,在支診,従来型
千葉県,流山市,医療法人社団診誠会 すずき内科クリニック,270-0157,流山市平和台４－５－４３,04-7159-3251,在支診,機能強化型(単独)
千葉県,流山市,医療法人社団曙会 流山中央病院,270-0114,流山市東初石２‐１３２‐２,04-7154-5741,在支病/在支病,機能強化型(単独)/機能強化型(連携)
千葉県,流山市,ゆるり在宅クリニック,270-0114,流山市東初石２－８５－１,04-7189-8911,在支診,機能強化型(連携)ア
千葉県,流山市,医療法人社団 大楠会 うのさわクリニック,270-0101,流山市東深井３８２－２０,04-7153-8001,在支診,従来型
千葉県,流山市,流山北クリニック,270-0111,流山市江戸川台東２－３１８,04-7157-2412,在支診,機能強化型(連携)ア
千葉県,流山市,医療法人社団悠翔会 悠翔会在宅クリニック流山,270-0111,流山市江戸川台東３－６２３－３３ 江戸川台東クリニックモール Ｄ号室,04-7168-0542,在支診,機能強化型(連携)ア
千葉県,流山市,中島内科医院,270-0164,流山市流山１－２７１,04-7158-1207,在支診,従来型
埼玉県,白岡市,杉本医院,349-0217,白岡市小久喜１４４４ー７,0480-92-1817,在支診,機能強化型(連携)イ
埼玉県,白岡市,医療法人社団 圭陽会 白岡ファミリークリニック,349-0217,白岡市小久喜２００番地１,0480-90-5590,在支診,機能強化型(連携)ア
埼玉県,白岡市,なかむら内科クリニック,349-0212,白岡市新白岡３丁目４１番地 ルネグランガーデン店舗棟１階２号室,0480-53-8028,在支診,従来型
埼玉県,白岡市,新白岡駅前内科,349-0212,白岡市新白岡４－１３－８ イーストサイド新白岡１０２,0480-92-0112,在支診,従来型
埼玉県,白岡市,なごみ診療所,349-0212,白岡市新白岡４－１４－１ プタハ新白岡２０１号室,048-053-7793,在支診,機能強化型(連携)ア
埼玉県,白岡市,りゅう内科・整形外科医院,349-0218,白岡市白岡１５０１番地 イリーデ・カーサ１階,0480-93-2188,在支診,従来型
埼玉県,白岡市,医療法人 厚德会 篠津医院,349-0204,白岡市篠津１９３６－５,0480-92-1600,在支診,機能強化型(連携)ア
埼玉県,草加市,新田整形外科医院,340-0006,草加市八幡町７１９－３,048-931-6618,在支診,従来型
埼玉県,草加市,草加きたやクリニック,340-0046,草加市北谷１丁目２２－１３北谷ビル１階,048-941-7800,在支診,機能強化型(連携)ア
埼玉県,草加市,菊野ホームメディカルクリニック,340-0004,草加市弁天１－２６－２５プレミエールモリタ２０６号室,048-951-4284,在支診,機能強化型(連携)ア
埼玉県,草加市,黒田総合内科診療所,340-0021,草加市手代１丁目４－１１,048-954-5546,在支診,従来型
埼玉県,草加市,みなみ草加クリニック,340-0031,草加市新里町１０７番地１,048-924-0600,在支診,従来型
埼玉県,草加市,ふくろうクリニック,340-0053,草加市旭町６丁目４－１１,048-999-5809,在支診,機能強化型(連携)ア
埼玉県,草加市,埼友草加病院,340-0041,草加市松原１丁目７番２２号,048-944-6111,在支病,従来型
埼玉県,草加市,医療法人社団 大樹会 かたい内科クリニック,340-0013,草加市松江一丁目２５番１３－１０１号,048-936-6612,在支診,従来型
埼玉県,草加市,医療法人社団 和啓会 メディクス草加クリニック,340-0034,草加市氷川町２１４９番３ １Ｆ,048-920-6161,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,草加市,医療法人 泰山会 石井外科医院,340-0034,草加市氷川町９２８,048-925-4255,在支診,従来型
埼玉県,草加市,医療法人 いしどりクリニック,340-0036,草加市苗塚町４１８番地１,048-969-4990,在支診,従来型
埼玉県,草加市,草加内科呼吸ケアクリニック,340-0043,草加市草加一丁目４番５号,048-999-5941,在支診,従来型
埼玉県,草加市,おおこし内科クリニック,340-0043,草加市草加四丁目１番９号ルピナス草加Ⅱ２０５号,048-951-5623,在支診,機能強化型(連携)イ
埼玉県,草加市,医療法人社団協友会 メディカルトピア草加病院,340-0028,草加市谷塚一丁目１１番１８号,048-928-3111,在支病,従来型
埼玉県,草加市,医療法人 親和会 鳳永病院,340-0028,草加市谷塚二丁目１２番１５号,048-924-2631,在支病,機能強化型(単独)
埼玉県,草加市,新田駅前内科クリニック,340-0052,草加市金明町３７１ 風の道ハウス２階Ｃ,048-954-5362,在支診,従来型
埼玉県,草加市,医療法人社団志優会 草加グリーンクリニック,340-0052,草加市金明町６０４番地１ １階,048-954-7677,在支診,従来型
埼玉県,草加市,ファミリークリニック草加,340-0015,草加市高砂２丁目１６番地１６号１階,048-954-5741,在支診,機能強化型(連携)ア
埼玉県,草加市,ゆずな内科在宅クリニック,340-0015,草加市高砂２－２０－２９ アースビル２階,048-924-8396,在支診,従来型
埼玉県,蓮田市,田口医院,349-0122,蓮田市上２－２－６,048-768-0179,在支診,従来型
埼玉県,蓮田市,医療法人 心喜会 蓮田外科医院,349-0115,蓮田市大字蓮田２０６１,048-764-1141,在支診,従来型
埼玉県,蓮田市,奏診療所,349-0123,蓮田市本町２番２３号 稲橋ビル３階・４階,048-797-7014,在支診,機能強化型(単独)
埼玉県,蓮田市,医療法人社団 愛友会 蓮田一心会病院,349-0123,蓮田市本町３番１７号,048-764-6411,在支病,機能強化型(連携)
埼玉県,蓮田市,井上医院,349-0111,蓮田市東１－１－２０,048-768-1572,在支診,従来型
埼玉県,蓮田市,医療法人青綾会 三浦醫院椿山診療所,349-0144,蓮田市椿山一丁目２１番１号,048-731-8160,在支診,従来型
埼玉県,蓮田市,はすだセントラルクリニック,349-0101,蓮田市黒浜６７８番地,048-796-8585,在支診,従来型
埼玉県,越谷市,医療法人社団聖心会 湖街ホスピタル,343-0828,越谷市レイクタウン八丁目１２番地１２ ケアハーモニー湖街 １階から５階,048-990-1515,在支病,機能強化型(連携)
埼玉県,越谷市,蒲生天神橋クリニック,343-0831,越谷市伊原１－４－５２,048-961-7800,在支診,機能強化型(連携)ア
埼玉県,越谷市,なかの内科・呼吸器クリニック,343-0026,越谷市北越谷三丁目７番３１号 ドリームスクエア北越谷 １階,048-984-7877,在支診,従来型
埼玉県,越谷市,青木耳鼻咽喉科,343-0026,越谷市北越谷２－１９－５,048-971-4933,在支診,従来型
埼玉県,越谷市,医療法人 遠藤クリニック,343-0042,越谷市千間台東１－９－１,048-978-1781,在支診,従来型
埼玉県,越谷市,ファミリークリニック越谷,343-0041,越谷市千間台西１丁目８番地７ ＩＫビル３０２号室,048-972-5810,在支診,機能強化型(連携)ア
埼玉県,越谷市,医療法人社団 大和会 慶和病院,343-0041,越谷市千間台西２－１２－８,048-978-0033,在支病,従来型
埼玉県,越谷市,医療法人社団 悠翔会 悠翔会在宅クリニック越谷,343-0845,越谷市南越谷四丁目１３番２０号 ＪＯＹＳＵＭＵ第二ビル２Ｆ,048-971-7717,在支診/在支診,機能強化型(連携)ア/機能強化型(連携)イ
埼玉県,越谷市,つつみクリニック南越谷,343-0845,越谷市南越谷３丁目９番７号 ドリームハイツ１０１号室,048-930-7880,在支診,機能強化型(連携)ア
埼玉県,越谷市,つばき在宅クリニック,343-0845,越谷市南越谷４－１１－１６－７０１,,在支診,従来型
埼玉県,越谷市,ナビゲーションＣＬＩＮＩＣ レイクタウン,343-0825,越谷市大成町７丁目１５２－５,048-940-5252,在支診,機能強化型(連携)ア
埼玉県,越谷市,医療法人社団 仁心会 越谷ハートフルクリニック,343-0827,越谷市川柳町三丁目５０番地１,048-989-8020,在支診,機能強化型(連携)ア
埼玉県,越谷市,医療法人社団ＮＥＸＴ 埼玉メンタルクリニック,343-0816,越谷市弥生町１７番１号 越谷ツインシティＡシティ３０１－２区画,048-940-3067,在支診,機能強化型(単独)
埼玉県,越谷市,やまぐち内科クリニック,343-0023,越谷市東越谷九丁目３２番地７,048-992-7300,在支診,従来型
埼玉県,越谷市,アオキクリニック,343-0821,越谷市瓦曽根二丁目９番地２０号,048-962-5560,在支診,機能強化型(連携)ア
埼玉県,越谷市,相良醫院,343-0821,越谷市瓦曽根１－２０－３５,048-960-3141,在支診,従来型
埼玉県,越谷市,医療法人 研整会 松田整形外科,343-0821,越谷市瓦曽根２－１－１４,048-960-3600,在支診,従来型
埼玉県,越谷市,医療法人社団友健会 ミントクリニック越谷,343-0836,越谷市蒲生寿町１８番３３号 ＭＩＴビル１階,048-961-8692,在支診,従来型
埼玉県,越谷市,医療法人 回春堂 中尾医院,343-0834,越谷市蒲生愛宕町１－１３,048-986-3007,在支診,従来型
埼玉県,越谷市,医療法人社団 白報会 しらこばと在宅診療所,343-0842,越谷市蒲生旭町１３－５,048-984-7852,在支診,機能強化型(連携)ア
埼玉県,越谷市,こしがや在宅クリニック,343-0835,越谷市蒲生西町１丁目３番６３－１号,048-945-0516,在支診,機能強化型(連携)イ
